OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,RMS,DATA_SOURCE
STARLINK-11205 [DTC],2024-133N,2025-10-07T18:44:42.000029,15.69713448,0.0001132,53.1572,180.2784,97.823,286.6361,0,C,60313,280,1,-0.00013223,-0.00016045,0,0.434,SpaceX-E
STARLINK-32191,2024-133P,2025-10-07T19:28:41.999981,15.30215012,0.0001314,53.1574,287.0186,87.9276,358.8126,0,C,60314,280,1,-0.00074359,-0.00022063,0,0.372,SpaceX-E
STARLINK-32194,2024-133Q,2025-10-07T19:27:42.000019,15.30194599,0.0001648,53.1588,287.1861,77.8971,283.5919,0,C,60315,280,1,-0.000202,-5.9931e-05,0,0.301,SpaceX-E
STARLINK-32192,2024-133R,2025-10-07T19:27:42.000019,15.30202968,0.0001292,53.1577,286.7847,85.4645,119.6064,0,C,60316,280,1,-0.00042238,-0.00012532,0,0.377,SpaceX-E
STARLINK-32189,2024-133S,2025-10-07T19:22:42.000038,15.30192287,0.0001412,53.1586,287.1774,87.74,266.2467,0,C,60317,280,1,-8.8624e-05,-2.6294e-05,0,0.317,SpaceX-E
STARLINK-32190,2024-133T,2025-10-07T19:27:42.000019,15.30198545,0.0001382,53.1577,287.0549,91.5061,333.9645,0,C,60318,280,1,-0.00030117,-8.9353e-05,0,0.343,SpaceX-E
STARLINK-32182,2024-133U,2025-10-07T19:26:41.999971,15.30193415,0.0001333,53.1586,287.178,86.3606,277.1187,0,C,60319,280,1,-0.00021776,-6.4602e-05,0,0.298,SpaceX-E
STARLINK-32199,2024-133V,2025-10-07T19:11:42.000029,15.3019206,0.0001461,53.1578,287.1426,85.7877,260.9912,0,C,60320,280,1,-3.0089e-05,-8.9275e-06,0,0.371,SpaceX-E
STARLINK-32198,2024-133W,2025-10-07T19:27:42.000019,15.30195188,0.0001347,53.1587,287.1949,83.5209,272.1588,0,C,60321,280,1,-0.00030997,-9.1955e-05,0,0.25,SpaceX-E
STARLINK-31745,2024-136A,2025-10-07T19:24:41.999962,15.30181911,0.0001186,53.1593,66.105,78.9897,269.1015,0,C,60329,280,1,3.065e-05,9.0915e-06,0,0.307,SpaceX-E
STARLINK-32153,2024-136B,2025-10-07T19:30:41.999990,15.30209828,0.0001243,53.1595,66.0743,86.7801,290.0787,0,C,60330,280,1,-0.00072851,-0.00021613,0,0.35,SpaceX-E
STARLINK-32203,2024-136C,2025-10-07T19:24:41.999962,15.30215832,0.0001254,53.1609,55.7612,85.732,105.4236,0,C,60331,280,1,-0.00083382,-0.00024739,0,0.425,SpaceX-E
STARLINK-32171,2024-136D,2025-10-07T19:27:42.000019,15.3019059,0.0001044,53.1584,65.5522,88.0142,190.7405,0,C,60332,280,1,-0.00017005,-5.0446e-05,0,0.336,SpaceX-E
STARLINK-32133,2024-136E,2025-10-07T19:27:42.000019,15.30207758,0.0001218,53.1604,66.0155,90.5123,309.7588,0,C,60333,280,1,-0.00061846,-0.00018349,0,0.381,SpaceX-E
STARLINK-32132,2024-136F,2025-10-07T19:21:41.999990,15.3019308,0.0001184,53.16,65.9651,79.4948,332.7226,0,C,60334,280,1,-0.00026706,-7.9221e-05,0,0.321,SpaceX-E
STARLINK-32168,2024-136G,2025-10-07T19:30:41.999990,15.30190911,0.0001604,53.1598,65.901,87.2126,16.9206,0,C,60335,280,1,-0.00035928,-0.00010656,0,0.338,SpaceX-E
STARLINK-32079,2024-136H,2025-10-07T19:25:42.000010,15.30199044,0.0001294,53.1595,65.8821,88.0625,14.3551,0,C,60336,280,1,-0.0002785,-8.263e-05,0,0.35,SpaceX-E
STARLINK-32078,2024-136K,2025-10-07T19:29:42.000029,15.30244945,0.0001552,53.1591,65.822,89.5108,51.4374,0,C,60338,280,1,-0.0013767,-0.00040865,0,0.585,SpaceX-E
STARLINK-32175,2024-136L,2025-10-07T19:29:42.000029,15.3025199,0.0001323,53.1588,65.799,87.0239,65.5089,0,C,60339,280,1,-0.0011569,-0.00034352,0,0.559,SpaceX-E
STARLINK-32176,2024-136M,2025-10-07T19:22:42.000038,15.30194424,0.0001083,53.1585,65.7861,88.8683,54.4207,0,C,60340,280,1,-0.00019553,-5.8007e-05,0,0.318,SpaceX-E
STARLINK-32185,2024-136N,2025-10-07T19:28:41.999981,15.30188693,0.0001177,53.1583,65.6854,88.4012,118.5814,0,C,60341,280,1,-0.00017386,-5.1572e-05,0,0.293,SpaceX-E
STARLINK-32221,2024-136P,2025-10-07T19:22:42.000038,15.30193361,0.0001174,53.1583,65.7396,86.7687,79.7983,0,C,60342,280,1,-0.00031486,-9.3399e-05,0,0.307,SpaceX-E
STARLINK-32083,2024-136Q,2025-10-07T19:28:41.999981,15.30177612,0.0001136,53.1584,65.6976,89.981,93.7676,0,C,60343,280,1,0.00015307,4.5403e-05,0,0.277,SpaceX-E
STARLINK-32077,2024-136R,2025-10-07T19:22:42.000038,15.30202753,0.000119,53.1581,65.67,83.4961,117.952,0,C,60344,280,1,-0.00044867,-0.00013311,0,0.347,SpaceX-E
STARLINK-32075,2024-136S,2025-10-07T19:27:42.000019,15.30189085,9.65e-05,53.1582,65.6064,92.2727,151.5963,0,C,60345,280,1,-0.00016117,-4.781e-05,0,0.305,SpaceX-E
STARLINK-32082,2024-136T,2025-10-07T19:24:41.999962,15.30191028,0.0001125,53.1582,65.6283,83.0547,143.5068,0,C,60346,280,1,-0.00015085,-4.4749e-05,0,0.313,SpaceX-E
STARLINK-32084,2024-136U,2025-10-07T19:23:42.000000,15.30185072,0.0001065,53.1582,65.5955,85.1945,154.9993,0,C,60347,280,1,-6.7791e-05,-2.0108e-05,0,0.286,SpaceX-E
